browser position chr7:117176541-117176741
browser hide all
browser full knownGene cons46way

track type=bedGraph name="HNRNPC(Hs/Mm)" description="RBPmap results for HNRNPC(Hs/Mm), motif: huuuuuk" visibility=dense color=30,143,59 maxHeightPixels=30 autoScale=off viewLimits=0:5 windowingFunction=maximum yLineOnOff=on yLineMark=1.6
chr7 117176540 117176541 0
chr7 117176541 117176542 0
chr7 117176542 117176543 0
chr7 117176543 117176544 0
chr7 117176544 117176545 0
chr7 117176545 117176546 0
chr7 117176546 117176547 0
chr7 117176547 117176548 0
chr7 117176548 117176549 0
chr7 117176549 117176550 0
chr7 117176550 117176551 0
chr7 117176551 117176552 0
chr7 117176552 117176553 1.713
chr7 117176553 117176554 1.705
chr7 117176554 117176555 1.705
chr7 117176555 117176556 1.822
chr7 117176556 117176557 0
chr7 117176557 117176558 0
chr7 117176558 117176559 0
chr7 117176559 117176560 0
chr7 117176560 117176561 0
chr7 117176561 117176562 0
chr7 117176562 117176563 0
chr7 117176563 117176564 0
chr7 117176564 117176565 0
chr7 117176565 117176566 0
chr7 117176566 117176567 0
chr7 117176567 117176568 0
chr7 117176568 117176569 0
chr7 117176569 117176570 0
chr7 117176570 117176571 0
chr7 117176571 117176572 0
chr7 117176572 117176573 0
chr7 117176573 117176574 0
chr7 117176574 117176575 0
chr7 117176575 117176576 0
chr7 117176576 117176577 0
chr7 117176577 117176578 0
chr7 117176578 117176579 0
chr7 117176579 117176580 0
chr7 117176580 117176581 0
chr7 117176581 117176582 0
chr7 117176582 117176583 0
chr7 117176583 117176584 0
chr7 117176584 117176585 0
chr7 117176585 117176586 0
chr7 117176586 117176587 0
chr7 117176587 117176588 0
chr7 117176588 117176589 0
chr7 117176589 117176590 0
chr7 117176590 117176591 0
chr7 117176591 117176592 0
chr7 117176592 117176593 0
chr7 117176593 117176594 0
chr7 117176594 117176595 0
chr7 117176595 117176596 0
chr7 117176596 117176597 0
chr7 117176597 117176598 0
chr7 117176598 117176599 0
chr7 117176599 117176600 0
chr7 117176600 117176601 0
chr7 117176601 117176602 0
chr7 117176602 117176603 0
chr7 117176603 117176604 0
chr7 117176604 117176605 0
chr7 117176605 117176606 0
chr7 117176606 117176607 0
chr7 117176607 117176608 0
chr7 117176608 117176609 0
chr7 117176609 117176610 0
chr7 117176610 117176611 0
chr7 117176611 117176612 0
chr7 117176612 117176613 0
chr7 117176613 117176614 0
chr7 117176614 117176615 0
chr7 117176615 117176616 0
chr7 117176616 117176617 0
chr7 117176617 117176618 0
chr7 117176618 117176619 0
chr7 117176619 117176620 0
chr7 117176620 117176621 0
chr7 117176621 117176622 0
chr7 117176622 117176623 0
chr7 117176623 117176624 0
chr7 117176624 117176625 0
chr7 117176625 117176626 0
chr7 117176626 117176627 0
chr7 117176627 117176628 0
chr7 117176628 117176629 0
chr7 117176629 117176630 0
chr7 117176630 117176631 0
chr7 117176631 117176632 0
chr7 117176632 117176633 0
chr7 117176633 117176634 0
chr7 117176634 117176635 0
chr7 117176635 117176636 0
chr7 117176636 117176637 0
chr7 117176637 117176638 0
chr7 117176638 117176639 0
chr7 117176639 117176640 0
chr7 117176640 117176641 0
chr7 117176641 117176642 0
chr7 117176642 117176643 0
chr7 117176643 117176644 0
chr7 117176644 117176645 0
chr7 117176645 117176646 0
chr7 117176646 117176647 0
chr7 117176647 117176648 0
chr7 117176648 117176649 0
chr7 117176649 117176650 0
chr7 117176650 117176651 0
chr7 117176651 117176652 0
chr7 117176652 117176653 0
chr7 117176653 117176654 0
chr7 117176654 117176655 0
chr7 117176655 117176656 0
chr7 117176656 117176657 0
chr7 117176657 117176658 0
chr7 117176658 117176659 0
chr7 117176659 117176660 0
chr7 117176660 117176661 0
chr7 117176661 117176662 0
chr7 117176662 117176663 0
chr7 117176663 117176664 0
chr7 117176664 117176665 0
chr7 117176665 117176666 0
chr7 117176666 117176667 0
chr7 117176667 117176668 0
chr7 117176668 117176669 0
chr7 117176669 117176670 0
chr7 117176670 117176671 0
chr7 117176671 117176672 0
chr7 117176672 117176673 0
chr7 117176673 117176674 0
chr7 117176674 117176675 0
chr7 117176675 117176676 0
chr7 117176676 117176677 0
chr7 117176677 117176678 0
chr7 117176678 117176679 0
chr7 117176679 117176680 0
chr7 117176680 117176681 0
chr7 117176681 117176682 0
chr7 117176682 117176683 0
chr7 117176683 117176684 0
chr7 117176684 117176685 0
chr7 117176685 117176686 0
chr7 117176686 117176687 0
chr7 117176687 117176688 0
chr7 117176688 117176689 0
chr7 117176689 117176690 0
chr7 117176690 117176691 0
chr7 117176691 117176692 0
chr7 117176692 117176693 0
chr7 117176693 117176694 0
chr7 117176694 117176695 0
chr7 117176695 117176696 0
chr7 117176696 117176697 0
chr7 117176697 117176698 0
chr7 117176698 117176699 0
chr7 117176699 117176700 0
chr7 117176700 117176701 0
chr7 117176701 117176702 0
chr7 117176702 117176703 0
chr7 117176703 117176704 0
chr7 117176704 117176705 0
chr7 117176705 117176706 0
chr7 117176706 117176707 0
chr7 117176707 117176708 0
chr7 117176708 117176709 0
chr7 117176709 117176710 0
chr7 117176710 117176711 0
chr7 117176711 117176712 0
chr7 117176712 117176713 0
chr7 117176713 117176714 0
chr7 117176714 117176715 0
chr7 117176715 117176716 0
chr7 117176716 117176717 0
chr7 117176717 117176718 0
chr7 117176718 117176719 0
chr7 117176719 117176720 0
chr7 117176720 117176721 0
chr7 117176721 117176722 0
chr7 117176722 117176723 0
chr7 117176723 117176724 0
chr7 117176724 117176725 0
chr7 117176725 117176726 0
chr7 117176726 117176727 0
chr7 117176727 117176728 0
chr7 117176728 117176729 0
chr7 117176729 117176730 0
chr7 117176730 117176731 0
chr7 117176731 117176732 0
chr7 117176732 117176733 0
chr7 117176733 117176734 0
chr7 117176734 117176735 0
chr7 117176735 117176736 0
chr7 117176736 117176737 0
chr7 117176737 117176738 0
chr7 117176738 117176739 0
chr7 117176739 117176740 0
chr7 117176740 117176741 0

track type=bedGraph name="HNRNPM(Hs/Mm)" description="RBPmap results for HNRNPM(Hs/Mm), motif: gguugguu" visibility=dense color=96,45,31 maxHeightPixels=30 autoScale=off viewLimits=0:5 windowingFunction=maximum yLineOnOff=on yLineMark=1.6
chr7 117176540 117176541 0
chr7 117176541 117176542 0
chr7 117176542 117176543 0
chr7 117176543 117176544 0
chr7 117176544 117176545 0
chr7 117176545 117176546 0
chr7 117176546 117176547 0
chr7 117176547 117176548 0
chr7 117176548 117176549 0
chr7 117176549 117176550 0
chr7 117176550 117176551 0
chr7 117176551 117176552 0
chr7 117176552 117176553 0
chr7 117176553 117176554 0
chr7 117176554 117176555 0
chr7 117176555 117176556 0
chr7 117176556 117176557 0
chr7 117176557 117176558 0
chr7 117176558 117176559 0
chr7 117176559 117176560 0
chr7 117176560 117176561 0
chr7 117176561 117176562 0
chr7 117176562 117176563 0
chr7 117176563 117176564 0
chr7 117176564 117176565 0
chr7 117176565 117176566 0
chr7 117176566 117176567 0
chr7 117176567 117176568 0
chr7 117176568 117176569 3.500
chr7 117176569 117176570 0
chr7 117176570 117176571 0
chr7 117176571 117176572 0
chr7 117176572 117176573 3.500
chr7 117176573 117176574 0
chr7 117176574 117176575 0
chr7 117176575 117176576 0
chr7 117176576 117176577 3.500
chr7 117176577 117176578 0
chr7 117176578 117176579 0
chr7 117176579 117176580 0
chr7 117176580 117176581 3.437
chr7 117176581 117176582 0
chr7 117176582 117176583 0
chr7 117176583 117176584 0
chr7 117176584 117176585 3.437
chr7 117176585 117176586 0
chr7 117176586 117176587 0
chr7 117176587 117176588 0
chr7 117176588 117176589 3.437
chr7 117176589 117176590 0
chr7 117176590 117176591 0
chr7 117176591 117176592 0
chr7 117176592 117176593 0
chr7 117176593 117176594 0
chr7 117176594 117176595 0
chr7 117176595 117176596 0
chr7 117176596 117176597 0
chr7 117176597 117176598 0
chr7 117176598 117176599 0
chr7 117176599 117176600 0
chr7 117176600 117176601 0
chr7 117176601 117176602 0
chr7 117176602 117176603 0
chr7 117176603 117176604 0
chr7 117176604 117176605 0
chr7 117176605 117176606 0
chr7 117176606 117176607 0
chr7 117176607 117176608 0
chr7 117176608 117176609 0
chr7 117176609 117176610 0
chr7 117176610 117176611 0
chr7 117176611 117176612 0
chr7 117176612 117176613 0
chr7 117176613 117176614 0
chr7 117176614 117176615 0
chr7 117176615 117176616 0
chr7 117176616 117176617 0
chr7 117176617 117176618 0
chr7 117176618 117176619 0
chr7 117176619 117176620 0
chr7 117176620 117176621 0
chr7 117176621 117176622 0
chr7 117176622 117176623 0
chr7 117176623 117176624 0
chr7 117176624 117176625 0
chr7 117176625 117176626 0
chr7 117176626 117176627 0
chr7 117176627 117176628 0
chr7 117176628 117176629 0
chr7 117176629 117176630 0
chr7 117176630 117176631 0
chr7 117176631 117176632 0
chr7 117176632 117176633 0
chr7 117176633 117176634 0
chr7 117176634 117176635 0
chr7 117176635 117176636 0
chr7 117176636 117176637 0
chr7 117176637 117176638 0
chr7 117176638 117176639 0
chr7 117176639 117176640 0
chr7 117176640 117176641 0
chr7 117176641 117176642 0
chr7 117176642 117176643 0
chr7 117176643 117176644 0
chr7 117176644 117176645 0
chr7 117176645 117176646 0
chr7 117176646 117176647 0
chr7 117176647 117176648 0
chr7 117176648 117176649 0
chr7 117176649 117176650 0
chr7 117176650 117176651 0
chr7 117176651 117176652 0
chr7 117176652 117176653 0
chr7 117176653 117176654 0
chr7 117176654 117176655 0
chr7 117176655 117176656 0
